frame,player_id,x1,y1,x2,y2,center_x,center_y,_width,_height,team,jersey_color,court_x,court_y
0,7,400,620,450,740,425,680,50,120,0,#3b82f6,12.5,42.3
0,10,660,460,720,580,690,520,60,120,0,#3b82f6,28.1,35.2
0,14,530,650,580,770,555,710,50,120,0,#3b82f6,18.7,44.8
0,16,330,420,380,540,355,480,50,120,0,#3b82f6,8.2,31.5
0,17,290,630,340,750,315,690,50,120,0,#3b82f6,6.1,43.1
0,2,830,610,880,730,855,670,50,120,1,#ef4444,38.9,41.7
0,4,1000,450,1060,570,1030,510,60,120,1,#ef4444,48.5,34.1
0,11,900,660,960,780,930,720,60,120,1,#ef4444,42.3,45.6
0,12,1060,410,1120,530,1090,470,60,120,1,#ef4444,52.1,30.2
0,13,930,630,990,750,960,690,60,120,1,#ef4444,44.7,43.4
0,50,780,560,810,600,795,580,30,40,,,34.2,37.8
1,7,403,618,453,738,428,678,50,120,0,#3b82f6,12.8,42.1
1,10,663,458,723,578,693,518,60,120,0,#3b82f6,28.5,35.0
1,14,533,648,583,768,558,708,50,120,0,#3b82f6,19.0,44.6
1,16,333,418,383,538,358,478,50,120,0,#3b82f6,8.6,31.3
1,17,293,628,343,748,318,688,50,120,0,#3b82f6,6.4,42.9
1,2,833,608,883,728,858,668,50,120,1,#ef4444,39.3,41.5
1,4,1003,448,1063,568,1033,508,60,120,1,#ef4444,48.9,33.9
1,11,903,658,963,778,933,718,60,120,1,#ef4444,42.7,45.4
1,12,1063,408,1123,528,1093,468,60,120,1,#ef4444,52.5,30.0
1,13,933,628,993,748,963,688,60,120,1,#ef4444,45.1,43.2
1,50,783,558,813,598,798,578,30,40,,,34.6,37.6
2,7,406,616,456,736,431,676,50,120,0,#3b82f6,13.1,41.8
2,10,666,456,726,576,696,516,60,120,0,#3b82f6,28.9,34.7
2,14,536,646,586,766,561,706,50,120,0,#3b82f6,19.4,44.4
2,16,336,416,386,536,361,476,50,120,0,#3b82f6,9.0,31.1
2,17,296,626,346,746,321,686,50,120,0,#3b82f6,6.8,42.6
2,2,836,606,886,726,861,666,50,120,1,#ef4444,39.7,41.2
2,4,1006,446,1066,566,1036,506,60,120,1,#ef4444,49.3,33.6
2,11,906,656,966,776,936,716,60,120,1,#ef4444,43.1,45.1
2,12,1066,406,1126,526,1096,466,60,120,1,#ef4444,52.9,29.7
2,13,936,626,996,746,966,686,60,120,1,#ef4444,45.5,42.9
2,50,786,556,816,596,801,576,30,40,,,35.0,37.3
3,7,409,614,459,734,434,674,50,120,0,#3b82f6,13.5,41.5
3,10,669,454,729,574,699,514,60,120,0,#3b82f6,29.3,34.4
3,14,539,644,589,764,564,704,50,120,0,#3b82f6,19.8,44.1
3,16,339,414,389,534,364,474,50,120,0,#3b82f6,9.4,30.8
3,17,299,624,349,744,324,684,50,120,0,#3b82f6,7.2,42.3
3,2,839,604,889,724,864,664,50,120,1,#ef4444,40.1,40.9
3,4,1009,444,1069,564,1039,504,60,120,1,#ef4444,49.7,33.3
3,11,909,654,969,774,939,714,60,120,1,#ef4444,43.5,44.8
3,12,1069,404,1129,524,1099,464,60,120,1,#ef4444,53.3,29.4
3,13,939,624,999,744,969,684,60,120,1,#ef4444,45.9,42.6
3,50,789,554,819,594,804,574,30,40,,,35.4,37.0
4,7,412,612,462,732,437,672,50,120,0,#3b82f6,13.8,41.2
4,10,672,452,732,572,702,512,60,120,0,#3b82f6,29.7,34.1
4,14,542,642,592,762,567,702,50,120,0,#3b82f6,20.1,43.8
4,16,342,412,392,532,367,472,50,120,0,#3b82f6,9.8,30.5
4,17,302,622,352,742,327,682,50,120,0,#3b82f6,7.6,42.0
4,2,842,602,892,722,867,662,50,120,1,#ef4444,40.5,40.6
4,4,1012,442,1072,562,1042,502,60,120,1,#ef4444,50.1,33.0
4,11,912,652,972,772,942,712,60,120,1,#ef4444,43.9,44.5
4,12,1072,402,1132,522,1102,462,60,120,1,#ef4444,53.7,29.1
4,13,942,622,1002,742,972,682,60,120,1,#ef4444,46.3,42.3
4,50,792,552,822,592,807,572,30,40,,,35.8,36.7
5,7,415,610,465,730,440,670,50,120,0,#3b82f6,14.2,40.9
5,10,675,450,735,570,705,510,60,120,0,#3b82f6,30.1,33.8
5,14,545,640,595,760,570,700,50,120,0,#3b82f6,20.5,43.5
5,16,345,410,395,530,370,470,50,120,0,#3b82f6,10.2,30.2
5,17,305,620,355,740,330,680,50,120,0,#3b82f6,8.0,41.7
5,2,845,600,895,720,870,660,50,120,1,#ef4444,40.9,40.3
5,4,1015,440,1075,560,1045,500,60,120,1,#ef4444,50.5,32.7
5,11,915,650,975,770,945,710,60,120,1,#ef4444,44.3,44.2
5,12,1075,400,1135,520,1105,460,60,120,1,#ef4444,54.1,28.8
5,13,945,620,1005,740,975,680,60,120,1,#ef4444,46.7,42.0
5,50,795,550,825,590,810,570,30,40,,,36.2,36.4
