frame,court_x,court_y,ball_movement,nearest_player,nearest_distance,second_player,second_distance,possession_player,possession_team
0,34.2,37.8,stationary,10,2.1,2,4.8,10,0
1,34.6,37.6,stationary,10,2.0,2,4.7,10,0
2,35.0,37.3,moving_right,10,1.9,2,4.5,10,0
3,35.4,37.0,moving_right,10,1.8,2,4.3,10,0
4,35.8,36.7,moving_right,10,1.7,2,4.2,10,0
5,36.2,36.4,moving_right,10,1.5,2,4.0,10,0
6,36.6,36.1,moving_right,2,1.2,10,1.8,10,0
7,37.0,35.8,moving_right,2,0.9,10,2.0,2,1
8,37.4,35.5,moving_right,2,0.7,4,2.5,2,1
9,37.8,35.2,moving_right,2,0.5,4,2.3,2,1
10,38.2,34.9,moving_right,2,0.4,4,2.1,2,1
11,38.6,34.6,moving_down,2,0.6,4,1.9,2,1
12,39.0,34.3,moving_down,4,0.8,2,1.5,4,1
13,39.4,34.0,moving_down,4,0.5,12,2.0,4,1
14,39.8,33.7,moving_down,4,0.3,12,1.8,4,1
15,40.2,33.4,stationary,4,0.4,12,1.6,4,1
16,40.6,33.1,moving_left,4,0.6,12,1.4,4,1
17,41.0,32.8,moving_left,4,0.8,12,1.2,4,1
18,40.6,33.0,moving_left,12,0.9,4,1.0,12,1
19,40.2,33.2,moving_left,12,0.6,4,1.3,12,1
20,39.8,33.4,moving_left,12,0.4,10,2.8,12,1
21,39.4,33.6,moving_left,12,0.5,10,3.0,12,1
22,39.0,33.8,stationary,12,0.7,10,3.2,12,1
23,38.6,34.0,moving_up,12,0.9,10,3.0,12,1
24,38.2,34.2,moving_up,10,1.5,12,1.1,12,1
25,37.8,34.4,moving_up,10,1.2,14,2.5,10,0
26,37.4,34.6,moving_up,10,0.8,14,2.3,10,0
27,37.0,34.8,stationary,10,0.5,14,2.1,10,0
28,36.6,35.0,moving_left,10,0.7,14,1.9,10,0
29,36.2,35.2,moving_left,10,0.9,7,2.5,10,0
30,35.8,35.4,moving_left,7,1.8,10,1.1,10,0
31,35.4,35.6,moving_left,7,1.5,10,0.9,10,0
32,35.0,35.8,stationary,7,1.2,10,1.0,10,0
33,34.6,36.0,moving_down,7,0.9,16,3.5,7,0
34,34.2,36.2,moving_down,7,0.5,16,3.3,7,0
35,33.8,36.4,moving_down,7,0.3,16,3.1,7,0
36,33.4,36.6,stationary,7,0.5,16,2.9,7,0
37,33.0,36.8,moving_right,7,0.7,10,4.2,7,0
38,33.4,36.5,moving_right,10,3.8,7,0.9,7,0
39,33.8,36.2,moving_right,10,3.5,7,1.1,7,0
40,34.2,35.9,moving_right,10,3.2,7,1.3,7,0
41,34.6,35.6,moving_right,10,2.9,7,1.5,7,0
42,35.0,35.3,moving_right,10,2.6,14,3.0,7,0
43,35.4,35.0,stationary,10,2.4,14,2.8,7,0
44,35.8,34.7,moving_up,14,2.2,10,2.5,14,0
45,36.2,34.4,moving_up,14,1.8,10,2.7,14,0
46,36.6,34.1,moving_up,14,1.4,10,2.9,14,0
47,37.0,33.8,moving_up,14,1.0,2,4.5,14,0
48,37.4,33.5,stationary,14,0.6,2,4.3,14,0
49,37.8,33.2,moving_right,14,0.4,2,4.1,14,0
50,38.2,32.9,moving_right,2,2.8,14,0.5,14,0
51,38.6,32.6,moving_right,2,2.5,14,0.7,2,1
52,39.0,32.3,moving_right,2,2.2,13,3.0,2,1
53,39.4,32.0,stationary,2,1.9,13,2.8,2,1
54,39.8,31.7,moving_down,2,1.6,13,2.6,2,1
55,40.2,31.4,moving_down,13,1.4,2,1.8,13,1
56,40.6,31.1,moving_down,13,1.0,11,2.5,13,1
57,41.0,30.8,moving_down,13,0.6,11,2.3,13,1
58,41.4,30.5,stationary,13,0.3,11,2.1,13,1
59,41.8,30.2,moving_left,13,0.5,11,1.9,13,1
60,41.4,30.4,moving_left,11,1.7,13,0.7,13,1
61,41.0,30.6,moving_left,11,1.5,13,0.9,11,1
62,40.6,30.8,moving_left,11,1.2,4,3.5,11,1
63,40.2,31.0,moving_left,11,0.8,4,3.3,11,1
64,39.8,31.2,stationary,11,0.5,4,3.1,11,1
65,39.4,31.4,moving_up,11,0.3,4,2.9,11,1
66,39.0,31.6,moving_up,4,2.5,11,0.5,11,1
67,38.6,31.8,moving_up,4,2.2,10,3.8,4,1
68,38.2,32.0,moving_up,4,1.8,10,3.5,4,1
69,37.8,32.2,stationary,4,1.4,10,3.2,4,1
70,37.4,32.4,moving_left,4,1.0,10,2.9,4,1
71,37.0,32.6,moving_left,10,2.5,4,1.2,4,1
72,36.6,32.8,moving_left,10,2.2,14,4.0,4,1
73,36.2,33.0,moving_left,10,1.9,14,3.8,10,0
74,35.8,33.2,stationary,10,1.5,14,3.5,10,0
75,35.4,33.4,moving_down,10,1.2,14,3.3,10,0
76,35.0,33.6,moving_down,10,0.8,14,3.0,10,0
77,34.6,33.8,moving_down,10,0.4,7,4.5,10,0
78,34.2,34.0,stationary,10,0.3,7,4.3,10,0
79,33.8,34.2,moving_right,10,0.5,7,4.0,10,0
80,34.2,34.0,moving_right,10,0.3,7,3.8,10,0
81,34.6,33.8,moving_right,10,0.5,14,3.5,10,0
82,35.0,33.6,moving_right,10,0.7,14,3.2,10,0
83,35.4,33.4,stationary,10,0.9,14,2.8,14,0
84,35.8,33.2,moving_up,14,1.2,10,1.0,14,0
85,36.2,33.0,moving_up,14,0.8,10,1.2,14,0
86,36.6,32.8,moving_up,14,0.4,10,1.4,14,0
87,37.0,32.6,stationary,14,0.3,2,5.0,14,0
88,37.4,32.4,moving_right,14,0.5,2,4.8,14,0
89,37.8,32.2,moving_right,2,4.5,14,0.7,14,0
90,38.2,32.0,moving_right,2,4.2,13,3.5,2,1
91,38.6,31.8,moving_right,2,3.8,13,3.2,2,1
92,39.0,31.6,stationary,2,3.5,13,2.8,2,1
93,39.4,31.4,moving_down,2,3.2,13,2.5,2,1
94,39.8,31.2,moving_down,13,2.2,2,2.8,13,1
